UserIP_Anonymized,Scenario,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Outcome,Continent
0148b55e,Footbridge,22,Women,College,0.43,0.14,UA,1,Europe
0148b55e,Loop,22,Women,College,0.43,0.14,UA,0,Europe
0148b55e,Switch,22,Women,College,0.43,0.14,UA,1,Europe
014d3c16,Footbridge,23,Women,College,0.35,0.5,CH,1,Europe
014d3c16,Loop,23,Women,College,0.35,0.5,CH,1,Europe
014d3c16,Switch,23,Women,College,0.35,0.5,CH,1,Europe
0152dc49,Footbridge,24,Men,College,1,0,BE,0,Europe
0152dc49,Loop,24,Men,College,1,0,BE,1,Europe
0152dc49,Switch,24,Men,College,1,0,BE,1,Europe
0154c56d,Footbridge,28,Men,College,0.78,0,US,0,Americas
0154c56d,Loop,28,Men,College,0.78,0,US,0,Americas
0154c56d,Switch,28,Men,College,0.78,0,US,0,Americas
0156e52a,Footbridge,55,Men,College,0,0,US,0,Americas
0156e52a,Loop,55,Men,College,0,0,US,1,Americas
0156e52a,Switch,55,Men,College,0,0,US,0,Americas
01570d9c,Footbridge,33,Men,College,0.5,0.5,US,0,Americas
01570d9c,Loop,33,Men,College,0.5,0.5,US,0,Americas
01570d9c,Switch,33,Men,College,0.5,0.5,US,0,Americas
01571db8,Footbridge,35,Men,College,0.5,0,FI,0,Europe
01571db8,Loop,35,Men,College,0.5,0,FI,1,Europe
01571db8,Switch,35,Men,College,0.5,0,FI,1,Europe
0158dcca,Footbridge,18,Men,College,1,0,UA,1,Europe
0158dcca,Loop,18,Men,College,1,0,UA,1,Europe
0158dcca,Switch,18,Men,College,1,0,UA,0,Europe
015aea04,Footbridge,25,Men,No College,0.5,0,CZ,1,Europe
015aea04,Loop,25,Men,No College,0.5,0,CZ,1,Europe
015aea04,Switch,25,Men,No College,0.5,0,CZ,1,Europe
015bf16b,Footbridge,27,Men,College,0.81,0.83,TW,0,Asia
015bf16b,Loop,27,Men,College,0.81,0.83,TW,1,Asia
015bf16b,Switch,27,Men,College,0.81,0.83,TW,1,Asia
015cb9f1,Footbridge,27,Men,College,0.74,0.11,PL,1,Europe
015cb9f1,Loop,27,Men,College,0.74,0.11,PL,1,Europe
015cb9f1,Switch,27,Men,College,0.74,0.11,PL,1,Europe
015ddb20,Footbridge,47,Men,College,1,0,ES,1,Europe
015ddb20,Loop,47,Men,College,1,0,ES,1,Europe
015ddb20,Switch,47,Men,College,1,0,ES,1,Europe
015eb2a2,Loop,32,Women,College,0.83,0.67,DE,1,Europe
015eb2a2,Switch,32,Women,College,0.83,0.67,DE,1,Europe
015fafdf,Footbridge,18,Women,No College,0.5,0.78,BR,0,Americas
015fafdf,Loop,18,Women,No College,0.5,0.78,BR,1,Americas
015fafdf,Switch,18,Women,No College,0.5,0.78,BR,1,Americas
01603f95,Footbridge,39,Men,College,0.32,0.68,GR,1,Europe
01603f95,Loop,39,Men,College,0.32,0.68,GR,0,Europe
01603f95,Switch,39,Men,College,0.32,0.68,GR,1,Europe
016666a0,Footbridge,20,Women,College,0.91,0,IE,0,Europe
016666a0,Loop,20,Women,College,0.91,0,IE,1,Europe
016666a0,Switch,20,Women,College,0.91,0,IE,1,Europe
0167e633,Footbridge,21,Men,College,0.7,0.13,RU,0,Europe
0167e633,Loop,21,Men,College,0.7,0.13,RU,1,Europe
0167e633,Switch,21,Men,College,0.7,0.13,RU,1,Europe
016d97a5,Footbridge,28,Men,No College,1,0,BE,1,Europe
016d97a5,Loop,28,Men,No College,1,0,BE,1,Europe
016d97a5,Switch,28,Men,No College,1,0,BE,1,Europe
016ef7ab,Footbridge,28,Men,College,0.81,0.15,CA,0,Americas
016ef7ab,Loop,28,Men,College,0.81,0.15,CA,1,Americas
016ef7ab,Switch,28,Men,College,0.81,0.15,CA,1,Americas
0173522d,Footbridge,20,Men,No College,0.5,0,JP,0,Asia
0173522d,Loop,20,Men,No College,0.5,0,JP,0,Asia
0173522d,Switch,20,Men,No College,0.5,0,JP,0,Asia
0177165a,Footbridge,42,Women,College,0.79,0.19,DE,0,Europe
0177165a,Loop,42,Women,College,0.79,0.19,DE,0,Europe
0177165a,Switch,42,Women,College,0.79,0.19,DE,1,Europe
01775b77,Footbridge,26,Men,College,0.5,0.5,BR,0,Americas
01775b77,Loop,26,Men,College,0.5,0.5,BR,1,Americas
01775b77,Switch,26,Men,College,0.5,0.5,BR,1,Americas
0180b15e,Footbridge,23,Men,No College,1,0,CA,1,Americas
0180b15e,Loop,23,Men,No College,1,0,CA,1,Americas
0180b15e,Switch,23,Men,No College,1,0,CA,1,Americas
01835153,Footbridge,38,Men,College,0.5,0.5,PE,1,Americas
01835153,Loop,38,Men,College,0.5,0.5,PE,1,Americas
01835153,Switch,38,Men,College,0.5,0.5,PE,1,Americas
018bf1bb,Footbridge,22,Men,No College,0.48,0,AU,1,Oc.
018bf1bb,Loop,22,Men,No College,0.48,0,AU,1,Oc.
018bf1bb,Switch,22,Men,No College,0.48,0,AU,1,Oc.
018e479b,Footbridge,29,Men,College,0.84,0.71,RU,0,Europe
018e479b,Loop,29,Men,College,0.84,0.71,RU,0,Europe
018e479b,Switch,29,Men,College,0.84,0.71,RU,1,Europe
0190ae96,Footbridge,25,Men,College,0.9,0.06,FR,0,Europe
0190ae96,Loop,25,Men,College,0.9,0.06,FR,1,Europe
0190ae96,Switch,25,Men,College,0.9,0.06,FR,1,Europe
0198a8e4,Footbridge,20,Women,College,1,0,RU,0,Europe
0198a8e4,Loop,20,Women,College,1,0,RU,1,Europe
0198a8e4,Switch,20,Women,College,1,0,RU,1,Europe
019a8304,Footbridge,20,Men,College,0.5,0,ES,0,Europe
019a8304,Loop,20,Men,College,0.5,0,ES,0,Europe
